RATA-RATA,NILAI UKK,PRAKERIN,Persentase_Kehadiran,Sikap,Status_Pembayaran_Administrasi,Status_Kelulusan
79.37,79.29,90.00,90,Sangat Baik,Lunas,Lulus
77.11,76.46,87.00,90,Sangat Baik,Lunas,Lulus
80.59,81.23,87.00,90,Baik,Lunas,Lulus
83.37,84.19,91.00,80,Baik,Lunas,Lulus
78.86,77.68,81.00,80,Baik,Lunas,Lulus
86.24,86.20,90.00,80,Baik,Lunas,Lulus
74.96,74.43,86.00,80,Baik,Lunas,Lulus
75.77,74.87,87.00,80,Sangat Baik,Lunas,Lulus
80.86,80.88,86.00,80,Sangat Baik,Lunas,Lulus
76.01,74.87,82.00,80,Sangat Baik,Lunas,Lulus
79.43,79.97,92.00,80,Sangat Baik,Lunas,Lulus
79.02,80.38,87.00,80,Baik,Lunas,Lulus
80.14,77.05,88.00,80,Baik,Lunas,Lulus
79.14,78.32,90.00,80,Baik,Lunas,Lulus
80.75,79.68,88.00,80,Baik,Lunas,Lulus
80.50,82.62,88.00,80,Baik,Lunas,Lulus
79.25,81.67,62.00,80,Sangat Baik,Lunas,Tidak Lulus
80.42,82.80,86.00,80,Sangat Baik,Lunas,Lulus
82.36,85.00,88.00,80,Sangat Baik,Lunas,Lulus
85.36,80.33,87.00,80,Baik,Lunas,Lulus
82.65,82.17,92.00,80,Baik,Lunas,Lulus
77.38,78.30,85.00,80,Baik,Lunas,Lulus
82.14,82.82,88.00,80,Baik,Lunas,Lulus
84.06,79.77,91.00,80,Baik,Lunas,Lulus
78.02,79.12,85.00,80,Baik,Lunas,Lulus
79.18,80.17,94.00,80,Baik,Lunas,Lulus
79.37,80.32,84.00,80,Baik,Lunas,Lulus
71.40,70.67,86.00,80,Baik,Lunas,Lulus
81.62,81.27,94.00,80,Baik,Lunas,Lulus
80.61,83.30,89.00,80,Baik,Lunas,Lulus
79.79,82.70,79.00,80,Baik,Lunas,Lulus
82.58,79.85,95.00,80,Baik,Lunas,Lulus
84.69,86.45,89.00,80,Baik,Lunas,Lulus
85.02,80.63,93.00,80,Baik,Lunas,Lulus
78.92,80.23,90.00,80,Baik,Lunas,Lulus
82.88,83.22,87.00,80,Baik,Lunas,Lulus
76.18,79.22,85.00,80,Sangat Baik,Lunas,Lulus
81.09,78.77,89.00,80,Sangat Baik,Lunas,Lulus
74.57,73.23,89.00,80,Sangat Baik,Lunas,Lulus
75.80,78.28,88.00,80,Sangat Baik,Lunas,Lulus
78.16,80.27,84.00,80,Sangat Baik,Lunas,Lulus
76.93,77.38,85.00,80,Sangat Baik,Belum,Tidak Lulus
76.44,76.77,74.00,80,Sangat Baik,Lunas,Lulus
76.02,75.83,91.00,80,Sangat Baik,Lunas,Lulus
74.96,72.48,89.00,80,Sangat Baik,Lunas,Lulus
74.18,75.12,86.00,80,Sangat Baik,Lunas,Lulus
72.93,71.73,79.00,80,Baik,Lunas,Lulus
77.27,75.18,87.00,80,Baik,Lunas,Lulus
73.87,70.75,79.00,80,Baik,Lunas,Lulus
77.42,76.48,86.00,80,Baik,Lunas,Lulus
75.57,76.18,88.00,80,Baik,Lunas,Lulus
77.91,76.17,87.00,80,Baik,Lunas,Lulus
76.94,73.53,89.00,80,Baik,Lunas,Lulus
75.48,72.88,79.00,80,Baik,Lunas,Lulus
76.54,71.02,92.00,80,Baik,Lunas,Lulus
81.28,78.92,82.00,80,Sangat Baik,Lunas,Lulus
79.00,75.45,83.00,80,Sangat Baik,Lunas,Lulus
83.72,83.82,86.00,90,Sangat Baik,Lunas,Lulus
85.31,81.15,86.00,90,Sangat Baik,Lunas,Lulus
85.86,85.53,97.00,90,Sangat Baik,Lunas,Lulus
82.11,79.98,82.00,90,Sangat Baik,Lunas,Lulus
75.10,70.53,81.00,90,Sangat Baik,Lunas,Lulus
81.21,79.82,82.00,90,Sangat Baik,Lunas,Lulus
78.08,78.45,85.00,90,Sangat Baik,Lunas,Lulus
83.20,82.53,89.00,90,Sangat Baik,Lunas,Lulus
81.04,79.22,86.00,90,Sangat Baik,Lunas,Lulus
79.07,81.68,88.00,90,Sangat Baik,Lunas,Lulus
81.57,77.70,88.00,90,Baik,Lunas,Lulus
79.30,80.58,83.00,90,Baik,Lunas,Lulus
81.78,83.78,86.00,90,Baik,Lunas,Lulus
80.98,82.52,78.00,90,Baik,Lunas,Lulus
82.60,81.47,93.00,90,Baik,Lunas,Lulus
83.40,84.77,83.00,90,Baik,Lunas,Lulus
76.32,77.10,88.00,90,Baik,Lunas,Lulus
75.85,72.03,84.00,90,Baik,Lunas,Lulus
80.92,82.02,82.00,90,Baik,Lunas,Lulus
76.69,77.12,80.00,90,Baik,Lunas,Lulus
82.21,84.42,76.00,90,Baik,Lunas,Lulus
78.32,77.80,80.00,90,Baik,Lunas,Lulus
83.67,78.85,86.00,90,Baik,Lunas,Lulus
80.10,80.27,88.00,90,Baik,Lunas,Lulus
83.20,82.13,90.00,90,Baik,Lunas,Lulus
78.50,78.23,93.00,90,Baik,Lunas,Lulus
77.88,75.92,87.00,90,Baik,Lunas,Lulus
76.99,77.03,88.00,90,Baik,Lunas,Lulus
81.69,78.53,83.00,90,Sangat Baik,Lunas,Lulus
82.37,79.27,82.00,90,Baik,Lunas,Lulus
79.45,77.97,77.00,90,Baik,Lunas,Lulus
81.87,78.97,82.00,90,Sangat Baik,Lunas,Lulus
77.99,79.42,90.00,90,Baik,Lunas,Lulus
82.52,78.97,82.00,90,Baik,Lunas,Lulus
81.78,84.52,83.00,90,Sangat Baik,Lunas,Lulus
81.06,80.53,86.00,90,Sangat Baik,Lunas,Lulus
77.35,78.98,92.00,90,Baik,Lunas,Lulus
76.21,74.70,84.00,90,Baik,Lunas,Lulus
78.42,77.42,87.00,90,Baik,Lunas,Lulus
81.02,82.82,87.00,90,Baik,Belum,Tidak Lulus
77.90,81.70,88.00,90,Baik,Lunas,Lulus
83.17,81.82,86.00,90,Baik,Lunas,Lulus
77.92,79.93,87.00,90,Baik,Lunas,Lulus
79.75,82.92,92.00,90,Baik,Lunas,Lulus
75.85,78.07,80.00,90,Baik,Lunas,Lulus
78.08,78.37,88.00,90,Baik,Lunas,Lulus
77.62,79.68,87.00,90,Baik,Lunas,Lulus
78.25,80.30,81.00,90,Baik,Lunas,Lulus
76.92,74.53,87.00,90,Baik,Lunas,Lulus
82.28,85.45,87.00,90,Sangat Baik,Lunas,Lulus
78.78,79.43,81.00,90,Baik,Lunas,Lulus
73.51,72.62,86.00,90,Baik,Lunas,Lulus
80.30,79.75,89.00,90,Baik,Lunas,Lulus
77.43,77.68,78.00,90,Baik,Lunas,Lulus
80.87,82.63,86.00,90,Sangat Baik,Lunas,Lulus
79.33,81.63,86.00,90,Baik,Lunas,Lulus
80.03,84.45,91.00,90,Baik,Lunas,Lulus
84.60,85.30,88.00,90,Sangat Baik,Lunas,Lulus
80.65,80.76,89.00,90,Sangat Baik,Lunas,Lulus
80.85,79.31,81.00,90,Sangat Baik,Lunas,Lulus
78.88,78.96,87.00,90,Baik,Lunas,Lulus
79.25,80.44,83.00,90,Baik,Lunas,Lulus
82.27,85.23,84.00,90,Baik,Lunas,Lulus
79.57,81.68,89.00,90,Baik,Lunas,Lulus
85.60,85.13,86.00,90,Sangat Baik,Lunas,Lulus
85.87,85.28,92.00,90,Sangat Baik,Lunas,Lulus
79.56,79.96,81.00,90,Baik,Lunas,Lulus
79.91,80.75,86.00,90,Baik,Lunas,Lulus
76.32,78.22,91.00,90,Baik,Lunas,Lulus
78.55,79.18,92.00,90,Baik,Lunas,Lulus
78.97,81.46,92.00,90,Baik,Lunas,Lulus
81.92,81.18,85.00,90,Sangat Baik,Lunas,Lulus
77.19,77.74,83.00,90,Sangat Baik,Lunas,Lulus
79.16,77.72,83.00,80,Baik,Lunas,Lulus
78.98,80.22,93.00,80,Baik,Lunas,Lulus
80.45,80.86,93.00,80,Baik,Lunas,Lulus
81.40,80.67,85.00,80,Sangat Baik,Lunas,Lulus
73.87,76.68,77.00,80,Sangat Baik,Lunas,Lulus
82.76,82.04,83.00,80,Sangat Baik,Lunas,Lulus
84.56,83.33,87.00,80,Sangat Baik,Lunas,Lulus
84.58,83.51,91.00,80,Sangat Baik,Lunas,Lulus
83.60,80.99,90.00,80,Baik,Lunas,Lulus
75.28,79.30,78.00,80,Baik,Lunas,Lulus
75.30,77.22,75.00,80,Baik,Lunas,Lulus
79.96,78.86,87.00,80,Baik,Lunas,Lulus
80.27,81.38,89.00,80,Baik,Lunas,Lulus
79.90,78.78,89.00,80,Baik,Lunas,Lulus
83.59,85.36,98.00,80,Baik,Lunas,Lulus
79.28,81.54,87.00,80,Baik,Lunas,Lulus
74.24,76.40,64.00,80,Baik,Lunas,Tidak Lulus
79.89,80.96,89.00,80,Baik,Lunas,Lulus
77.03,80.27,78.00,80,Baik,Lunas,Lulus
79.25,79.19,92.00,80,Baik,Lunas,Lulus
85.87,83.73,86.00,80,Sangat Baik,Lunas,Lulus
83.78,82.65,94.00,80,Sangat Baik,Lunas,Lulus
